Gene Names;Category
AT1G01050;RBA-Protein
AT1G01080;Pg-Protein
AT1G01090;RBA-Protein
AT1G01100;RBA-Protein
AT1G01170;Pg-Protein
AT1G01300;Pg-Protein
AT1G01320;Pg-Protein
AT1G01420;Pg-Protein
AT1G02090;Pg-Protein
AT1G02130;Pg-Protein
AT1G02140;Pg-Protein
